Country Name,Country Code,Year,Female Labor Force Participation Rate,Female Unemployment Rate,GDP Growth Rate,GDP per Capita,Girls’ Tertiary Enrollment,Total Fertility Rate,Employed FLFPR,GDP per Capita (sqrt)
Egypt,EGY,1992,22.971,17.064,4.472859184081841,680.7992386455101,10.03801412582398,4.149,19.05122856,26.09212982195034
Egypt,EGY,1993,22.286,22.394,2.900790799594418,740.3342173564175,11.66724815368652,3.993,17.29527316,27.20908336119425
Egypt,EGY,1994,23.111,22.842,3.973172180345415,807.3035372304874,13.29648218154907,3.865,17.83198538,28.41308742869186
Egypt,EGY,1995,21.75,23.746,4.642458772406385,916.3266177008762,14.92571620941162,3.764,16.585245,30.27088729622698
Egypt,EGY,1996,21.05,18.56,4.988730565122083,1008.976376294474,16.55495023727416,3.7,17.14312,31.7643884923742
Egypt,EGY,1997,20.367,19.811,5.492354743029424,1146.201721176335,18.18418426513671,3.682,16.33209363,33.85560103108989
Egypt,EGY,1998,19.695,19.633,5.575497460986,1212.822598204773,19.81341829299926,3.681,15.82828065,34.82560262514883
Egypt,EGY,1999,20.512,19.111,6.053438784675549,1268.309491604959,21.4426523208618,3.599,16.59195168,35.61333305947309
Egypt,EGY,2000,20.406,22.844,6.370003829917664,1366.092743726135,23.07188634872435,3.505,15.74445336,36.96069187293624
Egypt,EGY,2001,20.337,21.838,3.535251973915067,1295.137418416295,24.7011203765869,3.46,15.89580594,35.988017706124
Egypt,EGY,2002,18.191,24.078,2.390204025737262,1116.828846262128,26.0716495513916,3.412,13.81097102,33.41898930641273
Egypt,EGY,2003,18.925,23.403,3.193454737397445,1031.275562912836,24.238639831543,3.352,14.49598225,32.11347945820939
Egypt,EGY,2004,19.68,26.429,4.092071611253402,991.2556891452525,24.4102401733398,3.283,14.4787728,31.48421333216462
Egypt,EGY,2005,20.457,24.602,4.471744471744344,1105.539207139034,25.9733695983887,3.254,15.42416886,33.2496497295691
Egypt,EGY,2006,21.259,23.786,6.843838193791171,1298.979002031245,26.5457592010498,3.223,16.20233426,36.04135127920767
Egypt,EGY,2007,23.326,18.283,7.087827426810378,1547.741707359086,24.9158401489258,3.237,19.06130742,39.34134857067162
Egypt,EGY,2008,21.895,18.726,7.156283566058192,1896.21594269779,27.6888198852539,3.238,17.7949423,43.54556168770578
Egypt,EGY,2009,22.915,22.187,4.673599799523913,2161.639645739265,27.6997699737549,3.259,17.83084895,46.49343658775145
Egypt,EGY,2010,23.19,21.941,5.147234857553102,2455.081946452821,28.7817335625847,3.296,18.1018821,49.54878350124068
Egypt,EGY,2011,22.537,22.317,1.764571948998196,2590.64384891965,24.4210399901682,3.311,17.50741771,50.89836784141168
Egypt,EGY,2012,22.511,23.911,2.22619979863525,2996.067707201501,24.8590041191491,3.4,17.12839479,54.73634722194659
Egypt,EGY,2013,23.012,24.091,2.185466053621425,3025.525635524481,26.891342745999,3.49,17.46817908,55.00477829720325
Egypt,EGY,2014,23.166,23.915,2.915911879857475,3133.391022655408,27.6723589088676,3.49,17.6258511,55.97670071248758
Egypt,EGY,2015,22.813,24.68,4.372019077901413,3306.981594141408,32.4670104980469,3.5,17.1827516,57.50636133630268
Egypt,EGY,2016,23.072,23.507,4.346643455554471,3270.628776819699,32.4108695983887,3.35,17.64846496,57.18941140473207
Egypt,EGY,2017,22.184,22.824,4.181220999947783,2395.103332994913,32.5399181220118,3.31,17.12072384,48.93979293984511
Egypt,EGY,2018,18.415,21.333,5.331108618944796,2484.703156305083,37.0107192993164,3.02,14.48652805,49.8467968510022
Egypt,EGY,2019,15.859,21.312,5.552093071569558,2962.988920230026,34.2484230207107,2.87,12.47912992,54.43334382738237
Egypt,EGY,2020,14.609,17.631,3.55016483786838,3511.113810263795,38.4738006591797,2.85,12.03328721,59.25465222464642
Egypt,EGY,2021,15.59,15.924,3.290646012022108,3827.354153743081,35.4070535689265,2.75,13.1074484,61.86561366173523
Egypt,EGY,2022,15.233,14.454,6.587845608869671,4233.307837448563,36.6387405395508,2.75,13.03122218,65.06387505712031
Egypt,EGY,2023,18.478,15.166,3.76028052279247,3456.78968456253,37.9565582275391,2.75,15.67562652,58.79446984676815
Egypt,EGY,2024,18.468,15.282,2.399169267825101,3338.473713958945,37.4793898371231,2.735,15.64572024,57.77952677167706
Georgia,GEO,1990,70.318,2.558,-14.78878504672898,1610.980271468683,34.0329704284668,2.306,68.51926556,40.13701871674929
Georgia,GEO,1991,71.498,2.558,-21.0998508379398,1307.823427130064,34.0329704284668,2.208,69.66908116,36.16384143215519
Georgia,GEO,1992,72.806,5.119,-44.89977480608302,757.2235485053577,38.1866807937622,2.045,69.07906086,27.51769518883
Georgia,GEO,1993,74.262,5.121,-29.30016650688732,550.0155426092244,42.3403911590576,1.912,70.45904298,23.45241016631818
Georgia,GEO,1994,75.882,7.969,-10.39823008849558,519.8155788149649,46.494101524353,1.835,69.83496342000001,22.79946444140662
Georgia,GEO,1995,74.811,7.21,2.596575069693358,578.3369234608658,50.6478118896484,1.807,69.4171269,24.04863662374368
Georgia,GEO,1996,72.437,10.906,11.20254638615015,689.0346341533118,44.8069190979004,1.759,64.53702077999999,26.24946921660154
Georgia,GEO,1997,70.325,10.902,10.5208042446244,807.0322857523524,46.8881301879883,1.728,62.6581685,28.40831367315477
Georgia,GEO,1998,69.478,13.773,3.101509696165763,851.515542450841,42.98157501220705,1.703,59.90879506,29.18073923756629
Georgia,GEO,1999,68.75,12.248,2.86729567454968,673.5377828872752,39.0750198364258,1.643,60.3295,25.95260647579112
Georgia,GEO,2000,68.205,10.527,1.840381179273393,749.9085349939613,39.1737403869629,1.609,61.02505965,27.38445790944128
Georgia,GEO,2001,67.319,10.68,4.807298672436985,801.9838370792896,40.0761413574219,1.579,60.12933080000001,28.31931914928905
Georgia,GEO,2002,66.464,11.107,5.474024887004077,853.5261718689393,43.0371513366699,1.571,59.08184352,29.21517023515248
Georgia,GEO,2003,65.003,11.54,11.05703100201036,1010.031516308684,43.2041015625,1.552,57.50165380000001,31.7809930038173
Georgia,GEO,2004,64.224,11.813,5.792682926829258,1305.047485572078,44.0196800231934,1.566,56.63721888,36.1254409740847
Georgia,GEO,2005,63.093,12.733,9.591138328530263,1642.783594147973,49.0268402099609,1.583,55.05936831,40.53126687075021
Georgia,GEO,2006,62.089,11.752,9.421480811899087,1996.02013272284,43.1696281433105,1.617,54.79230071999999,44.67684112292229
Georgia,GEO,2007,60.953,12.601,12.57556982464045,2635.366502761162,42.0736694335938,1.697,53.27231247,51.33582085406994
Georgia,GEO,2008,60.721,17.606,2.421614409606406,3324.753720501501,40.7785987854004,1.832,50.03046074,57.66067741972428
Georgia,GEO,2009,60.943,19.17,-3.650752295968218,2822.689396687966,30.7644805908203,1.993,49.2602269,53.12898828970834
Georgia,GEO,2010,60.384,17.682,6.246408653033626,3281.729309373429,35.4432914618605,1.973,49.70690112,57.28637978938301
Georgia,GEO,2011,59.769,17.487,7.934336525307799,4119.668183071927,38.3894771843667,1.915,49.31719497,64.18464133320313
Georgia,GEO,2012,59.313,18.414,6.578831019541951,4530.695334094308,37.2198781059541,1.929,48.39110418000001,67.31044000817636
Georgia,GEO,2013,59.008,16.331,5.132885312093819,4712.002293826649,45.0691336488554,1.993,49.37140352000001,68.64402591505433
Georgia,GEO,2014,58.811,14.598,4.090490595817428,4830.334861702489,50.8549589145805,2.18,50.22577022,69.50061051316376
Georgia,GEO,2015,58.678,14.02,3.351023502653533,4086.622346596499,56.2940888308295,2.214,50.4513444,63.92669510147149
Georgia,GEO,2016,58.551,12.737,3.450215179968708,4143.401256863152,61.2539265889238,2.228,51.09335913,64.3692570786952
Georgia,GEO,2017,58.382,12.766,5.159902616588269,4418.752065466785,66.1567398119122,2.136,50.92895388,66.4736945375145
Georgia,GEO,2018,55.742,11.254,6.062036412677003,4804.054604044404,68.5508545862952,2.093,49.46879532,69.31128771018761
Georgia,GEO,2019,54.716,10.174,5.380719265899515,4741.283271587601,72.0135969397417,2.021,49.14919416000001,68.8569769274516
Georgia,GEO,2020,55.206,10.245,-6.2904717853839,4300.85701291207,75.0586297121814,1.976,49.5501453,65.58091957964656
Georgia,GEO,2021,53.055,10.297,10.64423365809692,5083.606954845773,81.26495658881,1.98,47.59192665,71.29941763328627
Georgia,GEO,2022,55.755,10.237,10.95853213856239,6729.846599302833,84.6260373912433,1.82,50.04736065,82.03564224959071
Georgia,GEO,2023,56.251,10.177,7.832201265557259,8283.669606522612,84.0958562940011,1.81,50.52633573,91.01466698572605
Georgia,GEO,2024,56.673,10.187,9.679793875006908,9241.49122313713,84.0958562940011,1.802,50.89972149,96.13267510652729
Iran,IRN,1990,9.57,24.598,13.59492644358396,2137.942227398768,14.3763198852539,4.934,7.215971400000001,46.23788735873178
Iran,IRN,1991,9.769,24.598,12.71614844240976,2194.439068036567,14.3763198852539,4.568,7.36602138,46.8448403566131
Iran,IRN,1992,9.907,22.318,3.297981919580579,1957.485077942519,14.3763198852539,4.099,7.69595574,44.24347497589355
Iran,IRN,1993,10.048,20.617,-1.471011482183812,1038.109856820673,14.3763198852539,3.674,7.976403840000001,32.21971223987999
Iran,IRN,1994,10.208,18.763,-1.69828611909162,1167.762725137951,14.3763198852539,3.244,8.29267296,34.1725434396966
Iran,IRN,1995,10.395,16.237,2.401044552200233,1550.0095955025,14.3763198852539,2.852,8.707163849999999,39.37016123287407
Iran,IRN,1996,10.591,13.434,6.350526018736446,1914.781212943129,14.3763198852539,2.542,9.16820506,43.75821309129441
Iran,IRN,1997,11.304,14.89,1.350399274300301,1790.066175755979,15.13027318318683,2.323,9.6208344,42.30917365957387
Iran,IRN,1998,12.058,16.429,2.080011780271334,1709.19334096046,15.88422648111977,2.19,10.07699118,41.34239157282099
Iran,IRN,1999,12.853,18.118,2.002696232534348,1739.594620014585,16.6381797790527,2.089,10.52429346,41.70844782552552
Iran,IRN,2000,13.691,19.383,5.845527475782092,1650.013858337851,17.2309799194336,1.999,11.03727347,40.62036260716847
Iran,IRN,2001,14.578,20.795,2.392172712078676,1881.022666352829,18.6210994720459,1.918,11.5465049,43.37075819435059
Iran,IRN,2002,15.5,21.852,8.078829279752426,1891.257560910334,17.9927196502686,1.836,12.11294,43.48859115803056
Iran,IRN,2003,16.486,18.942,8.639298397200605,2208.996365524055,19.7185096740723,1.801,13.36322188,46.99996133534638
Iran,IRN,2004,17.555,16.2,4.33666597851041,2672.422665140398,22.0902194976807,1.78,14.71109,51.69548012293143
Iran,IRN,2005,18.684,17.687,3.189804087288238,3132.050819200696,23.3864803314209,1.756,15.37936092,55.96472834920844
Iran,IRN,2006,18.042,16.578,4.999795261812224,3618.916013644281,26.5123901367188,1.755,15.05099724,60.15742692007597
Iran,IRN,2007,17.005,16.174,8.155773523585168,4687.991662607176,31.8951206207275,1.748,14.2546113,68.4689101900065
Iran,IRN,2008,14.763,17.008,0.2508565534936338,5377.411507295701,39.1407318115234,1.743,12.25210896,73.33083599206886
Iran,IRN,2009,15.692,17.102,1.007385457904746,5415.522805534456,38.0134811401367,1.74,13.00835416,73.59023580295457
Iran,IRN,2010,15.14,20.838,5.797938301696036,6291.194436554542,42.9514312744141,1.749,11.9851268,79.31705009992834
Iran,IRN,2011,13.595,21.187,2.6457179180628,8025.687433643556,48.448600769043,1.792,10.71462735,89.58620113412309
Iran,IRN,2012,14.89,19.921,-3.747171398641086,8114.080998318772,54.507999420166,1.851,11.9237631,90.07819380026874
Iran,IRN,2013,13.344,20.016,-1.521979204941843,6222.741948403264,55.5274887084961,1.913,10.67306496,78.88435807182096
Iran,IRN,2014,12.994,19.907,4.984775067094759,5672.063728963186,62.3088912963867,1.975,10.40728442,75.31310462969367
Iran,IRN,2015,14.362,19.624,-1.424884939375033,4952.733555321775,66.2445526123047,2.017,11.54360112,70.37566024785683
Iran,IRN,2016,16.174,20.902,8.815086642518196,5710.599470891042,63.8946418762207,2.054,12.79331052,75.56850846014524
Iran,IRN,2017,17.358,20.009,3.026854686940254,6000.933464044092,62.2489585876465,2.023,13.88483778,77.46569217430444
Iran,IRN,2018,17.341,19.062,-3.74796015711334,4783.010673402372,57.9571418762207,1.919,14.03545858,69.15931371407883
Iran,IRN,2019,16.812,17.633,-2.361435387705754,3997.493544958496,56.54296875,1.766,13.84754004,63.22573483130501
Iran,IRN,2020,13.723,15.739,4.441808653586719,3202.500035021685,55.3022689819336,1.7,11.56313703,56.59063557711369
Iran,IRN,2021,13.086,16.098,4.130896850344712,4605.148813189922,54.9481811523438,1.709,10.97941572,67.86124677008169
Iran,IRN,2022,13.469,15.878,4.352810875213436,4721.204370999842,59.131290435791,1.704,11.33039218,68.71102073903315
Iran,IRN,2023,14.128,15.11,5.332351172164067,5049.299316427539,59.131290435791,1.695,11.9932592,71.05842185432729
Iran,IRN,2024,14.144,15.116,3.663120568307178,5190.169590248213,59.131290435791,1.684,12.00599296,72.04283163679932
Jordan,JOR,1990,11.201,32.183,-0.2759039075919247,1148.590054698994,20.8662395477295,5.544,7.59618217,33.89085503050924
Jordan,JOR,1991,11.142,32.183,1.608531072602432,1109.655646119968,20.1145095825195,5.33,7.556170139999999,33.31149420425281
Jordan,JOR,1992,11.406,30.3,14.34977605968855,1286.634736059598,20.1491394042969,5.137,7.949982000000001,35.86969105051781
Jordan,JOR,1993,11.44,30.003,4.486989779857552,1289.414543100696,20.5331802368164,4.972,8.0076568,35.90841883320255
Jordan,JOR,1994,11.488,29.65,4.971476699647567,1367.187217766915,18.8062000274658,4.819,8.081808,36.97549482788452
Jordan,JOR,1995,11.572,30.103,6.200874443738186,1415.711515921284,19.3457450866699,4.676,8.088480839999999,37.62594206024992
Jordan,JOR,1996,11.569,24.371,2.08702078168028,1410.174241894192,19.885290145874,4.508,8.74951901,37.55228677316725
Jordan,JOR,1997,11.61,23.665,3.308475383047366,1435.875938468626,22.8023204803467,4.318,8.8624935,37.89295367833742
Jordan,JOR,1998,11.663,23.03,3.012172690465647,1532.113803956023,25.3606503804525,4.112,8.9770111,39.1422253321911
Jordan,JOR,1999,11.739,22.141,3.389530794050884,1544.587505929793,27.9189802805583,3.971,9.13986801,39.30124051387937
Jordan,JOR,2000,11.845,21.272,4.245711920791791,1570.610029404775,30.4773101806641,3.864,9.3253316,39.63092264135135
Jordan,JOR,2001,11.289,20.598,5.269957575135706,1632.294540105629,32.4411849975586,3.803,8.96369178,40.40166506600475
Jordan,JOR,2002,11.892,22.111,5.78380792679296,1706.267443844012,34.4050598144531,3.805,9.26255988,41.30699025399953
Jordan,JOR,2003,10.852,20.921,4.161667555444069,1775.676255814318,40.1000595092773,3.816,8.58165308,42.13877378156985
Jordan,JOR,2004,11.116,23.532,8.56721424236899,1940.08641342805,45.1623001098633,3.729,8.50018288,44.04641203807694
Jordan,JOR,2005,11.382,26.167,8.146594810799314,2087.870792736346,43.4914512634277,3.653,8.403672059999998,45.69322480123662
Jordan,JOR,2006,11.579,25.337,8.092975278119326,2342.634595749326,42.5890693664551,3.711,8.645228770000001,48.40077061111037
Jordan,JOR,2007,14.367,25.934,8.176169952046465,2506.205994841393,43.2695083618164,3.797,10.64106222,50.06202148177192
Jordan,JOR,2008,13.939,24.775,7.220386372801386,3241.652413555596,46.2810897827148,3.876,10.48561275,56.93551100636225
Jordan,JOR,2009,14.589,24.481,5.023710072726686,3435.833759069801,47.0157508850098,3.841,11.01746691,58.61598552502381
Jordan,JOR,2010,14.464,21.91,2.314834220630459,3718.465716229453,42.8696092407306,3.78,11.2949376,60.97922364403677
Jordan,JOR,2011,14.424,21.352,2.737179886321044,3946.855038555245,42.9862573137181,3.69,11.34418752,62.82400049786105
Jordan,JOR,2012,13.864,20.125,2.429358001002385,4169.504700546181,50.4808802511437,3.568,11.07387,64.57170201060354
Jordan,JOR,2013,12.946,22.314,2.609947375486314,4311.219167130379,47.3797105677966,3.449,10.05722956,65.65987486380384
Jordan,JOR,2014,12.283,20.879,3.384078099334715,4191.180500849864,44.27854088444951,3.302,9.71843243,64.7393273123058
Jordan,JOR,2015,13.599,22.759,2.496528793151882,4042.756780975546,41.1773712011024,3.141,10.50400359,63.58267673647867
Jordan,JOR,2016,15.051,24.082,1.994180849301202,3986.716770108529,38.0438002887414,3.072,11.42641818,63.14045272334155
Jordan,JOR,2017,16.612,27.336,2.473598154490446,4065.616287493843,33.0025457029457,2.994,12.07094368,63.76218540399821
Jordan,JOR,2018,14.649,24.099,1.919070913415638,4145.439896732647,37.0075501126946,2.923,11.11873749,64.38509064009033
Jordan,JOR,2019,13.685,23.993,1.75124077866225,4170.114400346496,35.1728040357134,2.855,10.40155795,64.57642294480623
Jordan,JOR,2020,14.975,25.348,-1.102751883090463,4022.040135613496,35.9681072976761,2.791,11.179137,63.4195564129354
Jordan,JOR,2021,13.964,26.175,3.65564358999147,4183.499983268664,37.1504694896402,2.735,10.308923,64.67998131778226
Jordan,JOR,2022,13.922,26.868,2.647435149120582,4332.251598979315,39.9900863074411,2.679,10.18143704,65.81984198537182
Jordan,JOR,2023,15.933,23.072,2.884083392816834,4466.083142085751,40.4090341678811,2.639,12.25693824,66.8287598424941
Jordan,JOR,2024,16.008,23.136,2.488894096036475,4618.095924985674,43.6054644483467,2.604,12.30438912,67.95657381729654
Lebanon,LBN,1990,17.975,10.553,26.53316009324914,789.5263384847376,23.0771808624268,3.268,16.07809825,28.09851132150487
Lebanon,LBN,1991,18.045,10.553,49.44737918491413,1278.421257456334,23.0771808624268,3.162,16.14071115,35.75501723473691
Lebanon,LBN,1992,18.453,10.181,16.43834570457281,1559.381006284464,23.0771808624268,3.052,16.57430007,39.48899854750009
Lebanon,LBN,1993,18.713,10.172,10.76566979718889,2078.638642155623,22.75307321548465,2.937,16.80951364,45.59208968840563
Lebanon,LBN,1994,18.917,10.256,8.105241977345017,2467.769427205772,22.4289655685425,2.823,16.97687248,49.67664871149997
Lebanon,LBN,1995,19.092,10.346,6.448862569852579,2958.742639574617,22.10485792160035,2.725,17.11674168,54.39432543542218
